"movie"	"profane"	"word"	"minutes_in"	"year"
"Reservoir Dogs"	"word"	"dick"	79.48	1992
"Reservoir Dogs"	"word"	"dick"	79.51	1992
"Reservoir Dogs"	"word"	"fucking"	79.83	1992
"Reservoir Dogs"	"word"	"fuck"	80.18	1992
"Reservoir Dogs"	"word"	"bullshit"	80.31	1992
"Reservoir Dogs"	"word"	"fucking"	80.46	1992
"Reservoir Dogs"	"word"	"hell"	80.65	1992
"Reservoir Dogs"	"word"	"faggot"	81.65	1992
"Reservoir Dogs"	"word"	"shit"	82.05	1992
"Reservoir Dogs"	"word"	"pussy"	82.08	1992
"Reservoir Dogs"	"word"	"goddamn"	82.48	1992
"Reservoir Dogs"	"word"	"fucking"	82.5	1992
"Reservoir Dogs"	"word"	"fucking"	82.73	1992
"Reservoir Dogs"	"word"	"goddamn"	82.9	1992
"Reservoir Dogs"	"word"	"goddamn"	82.96	1992
"Reservoir Dogs"	"word"	"ass"	83.86	1992
"Reservoir Dogs"	"word"	"fucking"	84.16	1992
"Reservoir Dogs"	"word"	"shit"	84.16	1992
"Reservoir Dogs"	"word"	"bitch"	84.21	1992
"Reservoir Dogs"	"word"	"fuck"	84.3	1992
"Reservoir Dogs"	"word"	"fuck"	84.4	1992
"Reservoir Dogs"	"word"	"bitch"	84.5	1992
"Reservoir Dogs"	"word"	"fuck"	85.08	1992
"Reservoir Dogs"	"word"	"fuck"	85.28	1992
"Reservoir Dogs"	"word"	"fucking"	85.45	1992
"Reservoir Dogs"	"FALSE"	NA	85.58	1992
"Reservoir Dogs"	"FALSE"	NA	85.58	1992
"Reservoir Dogs"	"FALSE"	NA	85.81	1992
"Reservoir Dogs"	"word"	"fucking"	86.48	1992
"Reservoir Dogs"	"FALSE"	NA	86.55	1992
"Reservoir Dogs"	"word"	"fucking"	86.86	1992
"Reservoir Dogs"	"word"	"shit"	86.91	1992
"Reservoir Dogs"	"word"	"fucking"	86.96	1992
"Reservoir Dogs"	"word"	"shit"	87.06	1992
